Response_ID,Farm,Latitude,Longitute,worker_type_core,understand_contract,entity_tenure_total_months,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,safety_core,accident_last_year,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,factory_recommend_tf_score
R_2PiGKeOsDkdqQ56,Farm 5,19.43539429,-99.1427002,Permanent,Yes,2,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_YQbM6e430rTJggF,Farm 5,19.32299805,-98.22409821,Seasonal OR temporary,Yes,5,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_eQoaMEe6kgRL6TL,Farm 5,19.49389648,-99.10620117,Permanent,Yes,15,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_d5s5jXLOtYVVgf7,Farm 5,19.49389648,-99.10620117,Permanent,Yes,24,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_27eAOnaMPLKva6W,Farm 5,46.33270264,6.901702881,Seasonal OR temporary,Yes,4,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_22taRbbDfXFYx52,Farm 5,19.43539429,-99.1427002,Permanent,No,9,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2wFcUWPYlYGSM8S,Farm 5,19.43539429,-99.1427002,Permanent,Yes,108,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3kBZgHlnHFJjhs0,Farm 5,19.30279541,-98.26059723,Permanent,Yes,214,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3lAn8pswpsfs04V,Farm 5,46.33270264,6.901702881,Seasonal OR temporary,Yes,4,Somewhat Satisfied,Yes,Yes,Neither good or bad,Agree nor disagree,No,Strongly Agree,Don't know,Strongly disagree,1
R_9tdUJ63KF0ztvPj,Farm 5,19.49389648,-99.10620117,Seasonal OR temporary,Yes,1,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2a9r10kGs9OBAFr,Farm 5,19.32299805,-98.22409821,Permanent,Yes,20,Neither satisfied nor dissatisfied,Yes,Yes,Very good,Strongly agree,Yes,Agree nor disagree,Yes,Strongly disagree,1
R_3paorM0DFiQNb6W,Farm 5,19.30279541,-98.26059723,Seasonal OR temporary,Yes,4,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2twMIoiWLUxYY6t,Farm 5,19.43539429,-99.1427002,Permanent,Yes,13,Very satisfied,Yes,Yes,Very good,Strongly agree,Yes,Strongly Agree,Yes,Agree nor disagree,1
R_264HTsSnVtn7Mnl,Farm 5,46.33270264,6.901702881,Permanent,Yes,120,Neither satisfied nor dissatisfied,No,No,Neither good or bad,Somewhat disagree,No,Somewhat agree,Don't know,Strongly agree,1
R_UnX0otk7RHuA3y9,Farm 5,19.32299805,-98.22409821,Permanent,Yes,68,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Somewhat agree,1
R_3GEaPy8ES1cJtGB,Farm 5,19.30279541,-98.26059723,Seasonal OR temporary,Yes,1,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1lbEATlO0HvdVUI,Farm 5,19.49389648,-99.10620117,Seasonal OR temporary,Yes,2,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3k1WXPVvaN4u3Zo,Farm 5,19.43539429,-99.1427002,Permanent,Yes,2,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_e2oDEoaQJrn8tNf,Farm 5,19.43539429,-99.1427002,Permanent,Yes,84,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Somewhat agree,Yes,Strongly disagree,1
R_bQ2xJa8bToebpWV,Farm 5,19.49389648,-99.10620117,Permanent,Yes,120,Very satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly agree,1
R_2Ce3zYyTMs7bMdR,Farm 5,19.49389648,-99.10620117,Permanent,Yes,156,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1lfAypwuwBfiCvf,Farm 5,19.43539429,-99.1427002,Permanent,Yes,132,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Agree nor disagree,1
R_3L84XRTGyCBRN6n,Farm 5,19.32299805,-98.22409821,Permanent,Yes,157,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Somewhat disagree,1
R_2PwiuqnGD9LqsO0,Farm 5,19.43539429,-99.1427002,Permanent,Yes,84,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_QglmtKfZgxnqkSd,Farm 5,19.43539429,-99.1427002,Permanent,Yes,24,Somewhat Satisfied,Yes,No,Somewhat bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_29sP38x9VKH5vDE,Farm 5,19.49389648,-99.10620117,Permanent,Yes,144,Very satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_27BCYgMgsgjOAnm,Farm 5,19.49389648,-99.10620117,Permanent,Yes,60,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Somewhat disagree,1
R_vSR0h8ZGhXJNkZP,Farm 5,46.33270264,6.901702881,Permanent,Yes,41,Somewhat Satisfied,No,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_27DQJefRSEiaZC1,Farm 5,19.49389648,-99.10620117,Seasonal OR temporary,Yes,2,Somewhat Satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Strongly disagree,1
R_32Wppk9VWzvSYzq,Farm 5,19.49389648,-99.10620117,Permanent,Yes,4,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Somewhat disagree,1
R_308YFwe8OajxtLe,Farm 5,19.49389648,-99.10620117,Permanent,Yes,36,Somewhat Satisfied,No,Yes,Very good,Somewhat agree,No,Somewhat agree,Yes,Strongly disagree,1
R_uh7fmnGobTt5zXj,Farm 5,19.43539429,-99.1427002,Permanent,Yes,198,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,Somewhat agree,Yes,Strongly disagree,1
R_3nJC0yxNFZgVaFM,Farm 5,19.36399841,-99.1740036,Permanent,Yes,72,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3hEKF79W9PnonPL,Farm 5,19.49389648,-99.10620117,Permanent,Yes,108,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2dLadmHNMhoStQ7,Farm 5,19.32299805,-98.22409821,Permanent,Yes,33,Refused,Refused,Refused,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly agree,1
R_PtWCHT9AMa7GvW9,Farm 5,19.49389648,-99.10620117,Permanent,Yes,20,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2RVUKwfkvzbe4s5,Farm 5,19.30279541,-98.26059723,Seasonal OR temporary,Yes,7,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3CPcuKqPOWX0tDL,Farm 5,19.43539429,-99.1427002,Permanent,Yes,156,Somewhat dissatisfied,No,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3nABoKuhjXXVtHW,Farm 5,19.36399841,-99.1740036,Permanent,Yes,12,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_25ZMe4yCjsLlJ2E,Farm 5,19.49389648,-99.10620117,Seasonal OR temporary,Yes,2,Very dissatisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Somewhat agree,1
R_2zMhfZfpXkNryw3,Farm 5,19.49389648,-99.10620117,Permanent,Yes,120,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_W9hD5XJ4a35iUrD,Farm 5,19.30279541,-98.26059723,Permanent,Yes,48,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2DZ9ZFSJ1qKLTQO,Farm 5,19.43539429,-99.1427002,Permanent,Yes,30,Somewhat Satisfied,No,No,Neither good or bad,Strongly agree,No,Somewhat agree,Yes,Strongly disagree,1
R_3L51SXU19qIRrgt,Farm 5,19.36399841,-99.1740036,Permanent,Yes,132,Very satisfied,Yes,No,Somewhat good,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,1
R_210ql76n1LrjQDP,Farm 5,19.32299805,-98.22409821,Permanent,Yes,114,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly agree,1
R_9ZYc64uSO3IKY8x,Farm 5,19.49389648,-99.10620117,Permanent,Yes,63,Very satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Agree nor disagree,1
R_2ypUoCbsOs32BCS,Farm 5,19.49389648,-99.10620117,Permanent,Yes,4,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Somewhat agree,Yes,Strongly disagree,1
R_2qDyKVsTanbmyxC,Farm 5,19.43539429,-99.1427002,Permanent,Yes,132,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly disagree,Yes,Strongly agree,1
R_2BlMV3oFDAtvNO1,Farm 5,19.36399841,-99.1740036,Permanent,Yes,8,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3JKM2THeyUP8VFm,Farm 5,19.30279541,-98.26059723,Permanent,Yes,154,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1eDfPWrBzv2OGBk,Farm 5,19.32299805,-98.22409821,Permanent,Yes,47,Somewhat Satisfied,No,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,0
R_2D5EKlFZqb1LsAG,Farm 5,19.49389648,-99.10620117,Permanent,No,180,Somewhat Satisfied,No,Don't know,Neither good or bad,Agree nor disagree,No,Strongly Agree,Yes,Agree nor disagree,1
R_2t3BUryVgTkgnDG,Farm 5,19.43539429,-99.1427002,Don't know,Yes,2,Very satisfied,Yes,No,Neither good or bad,Strongly agree,No,Agree nor disagree,Yes,Strongly disagree,1
R_RsrxGMkDWSGIBP3,Farm 5,19.30279541,-98.26059723,Seasonal OR temporary,Yes,4,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2V1EGmodaA4UDGs,Farm 5,19.36399841,-99.1740036,Permanent,No,204,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1pDO85CVUrlOtfo,Farm 5,19.49389648,-99.10620117,Permanent,Yes,9,Neither satisfied nor dissatisfied,No,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1KfkFoHSGS40xFf,Farm 5,19.32299805,-98.22409821,Permanent,Yes,136,Very satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly agree,0
R_XTzJnRvrTGALpOF,Farm 5,19.30279541,-98.26059723,Permanent,Yes,45,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Somewhat disagree,Yes,Strongly disagree,1
R_3I5jQPbX4AGKYvO,Farm 5,19.43539429,-99.1427002,Permanent,Yes,108,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3Ms5Y3qOrwwbKVf,Farm 5,19.49389648,-99.10620117,Permanent,Yes,156,Very satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_8iBo6krssCyOP7z,Farm 5,19.43539429,-99.1427002,Permanent,Yes,16,Neither satisfied nor dissatisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2tr5iRkFk8t0cXq,Farm 5,19.49389648,-99.10620117,Seasonal OR temporary,Yes,10,Somewhat Satisfied,No,No,Neither good or bad,Strongly agree,No,Somewhat agree,Yes,Strongly disagree,1
R_ZK1SB5hFMjXyaHv,Farm 5,19.32299805,-98.22409821,Permanent,Yes,27,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Somewhat agree,Don't know,Refused,0
R_Requ99XCGt3cm9X,Farm 5,19.30279541,-98.26059723,Permanent,Yes,152,Neither satisfied nor dissatisfied,No,No,Neither good or bad,Somewhat agree,Yes,Agree nor disagree,Yes,Strongly agree,1
R_zV9qmYGfhMi33nb,Farm 5,19.32299805,-98.22409821,Permanent,Yes,33,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Agree nor disagree,1
R_5c1BFufNkMoMlQ5,Farm 5,19.30279541,-98.26059723,Permanent,Yes,24,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_30qp3XCEXZn0r7C,Farm 6,19.43539429,-99.1427002,Seasonal OR temporary,Yes,1,Somewhat Satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Agree nor disagree,Yes,Somewhat agree,1
R_3iEkLRqIUvJI77Y,Farm 6,19.3782959,-99.16210175,Seasonal OR temporary,Yes,2,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly disagree,Yes,Strongly disagree,1
R_2rvikQRDyQQJmUo,Farm 6,20.63459778,-87.06950378,Seasonal OR temporary,Yes,5,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_262FhSyqMhp8jNn,Farm 6,19.32290649,-98.19999695,Seasonal OR temporary,No,1,Somewhat Satisfied,Yes,No,Somewhat good,Somewhat agree,No,Strongly Agree,Don't know,Refused,0
R_2wFuQuZC6o2dOh8,Farm 6,20.63459778,-87.06950378,Seasonal OR temporary,Yes,3,Somewhat Satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2RaCE7xbyIX3fDL,Farm 6,19.43539429,-99.1427002,Seasonal OR temporary,Yes,9,Somewhat Satisfied,Yes,Yes,Somewhat good,Somewhat agree,No,Somewhat disagree,Yes,Strongly disagree,1
R_eM9Op5L0kNU654R,Farm 6,19.3782959,-99.16210175,Seasonal OR temporary,Yes,8,Neither satisfied nor dissatisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Don't know,Strongly disagree,1
R_2Vx9IEuj5AUQC1f,Farm 6,19.43539429,-99.1427002,Seasonal OR temporary,Yes,1,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Somewhat agree,Yes,Somewhat agree,1
R_3k1kbTjdaPtXv7D,Farm 6,19.32290649,-98.19999695,Seasonal OR temporary,Yes,40,Very satisfied,Don't know,No,Neither good or bad,Somewhat agree,No,Strongly Agree,Yes,Somewhat agree,1
R_1Nl9aR8b7j5UFDc,Farm 6,19.3782959,-99.16210175,Seasonal OR temporary,Yes,8,Neither satisfied nor dissatisfied,Yes,No,Somewhat good,Somewhat agree,No,Somewhat agree,Yes,Strongly disagree,1
R_cMbLdhlmZf2E5Wh,Farm 6,19.43539429,-99.1427002,Seasonal OR temporary,Yes,36,Somewhat Satisfied,Yes,Yes,Neither good or bad,Somewhat agree,No,Somewhat agree,No,Somewhat agree,1
R_114pBvpQUtCwwPF,Farm 6,20.63459778,-87.06950378,Seasonal OR temporary,Yes,3,Somewhat dissatisfied,Yes,No,Neither good or bad,Strongly agree,No,Somewhat agree,No,Somewhat agree,0
R_3rTxRFwziq0cIdG,Farm 6,20.63459778,-87.06950378,Seasonal OR temporary,Yes,4,Very satisfied,Yes,No,Very good,Strongly agree,No,Somewhat agree,Yes,Strongly disagree,1
R_1rAKjpRIiR0YKwX,Farm 6,19.32290649,-98.19999695,Permanent,Yes,18,Very satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Somewhat agree,1
R_1DU2meWD3weZZd6,Farm 6,19.3782959,-99.16210175,Seasonal OR temporary,Yes,3,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2D1PrJ92zh4QIzM,Farm 6,19.43539429,-99.1427002,Seasonal OR temporary,Yes,60,Somewhat Satisfied,Yes,No,Very good,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,1
R_6KbyFX3ANlYWBlT,Farm 6,20.63459778,-87.06950378,Seasonal OR temporary,Yes,4,Very satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Don't know,Strongly disagree,1
R_1Cc30HxsOtjcVsl,Farm 6,19.3782959,-99.16210175,Seasonal OR temporary,Yes,84,Very satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3ENpDv0UYuUspnD,Farm 6,20.63459778,-87.06950378,Seasonal OR temporary,Yes,4,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Don't know,Strongly disagree,1
R_eYhQa3V9VPmzV7P,Farm 6,20.63459778,-87.06950378,Seasonal OR temporary,Yes,60,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2PduJjhfH1F1OJa,Farm 6,19.3782959,-99.16210175,Seasonal OR temporary,Yes,60,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_9QZhYNd4w32kk49,Farm 6,19.43539429,-99.1427002,Seasonal OR temporary,No,6,Somewhat Satisfied,Don't know,No,Neither good or bad,Agree nor disagree,No,Strongly disagree,Yes,Somewhat agree,1
R_sd4aYZQdxi4M30B,Farm 6,19.43539429,-99.1427002,Seasonal OR temporary,Yes,72,Very satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,0
R_3EYbKhBSJ1Vp0Gr,Farm 6,19.32290649,-98.19999695,Seasonal OR temporary,No,181,Somewhat Satisfied,Yes,No,Somewhat good,Somewhat agree,No,Strongly Agree,Yes,Somewhat disagree,1
R_2waWp90mzgvrxZ4,Farm 6,20.63459778,-87.06950378,Seasonal OR temporary,Yes,48,Very satisfied,Yes,No,Neither good or bad,Strongly agree,No,Agree nor disagree,Yes,Strongly disagree,1
R_sAqNW5TcESKdydb,Farm 6,19.3782959,-99.16210175,Permanent,Yes,36,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2Y54Gm4UKZTBmap,Farm 6,19.43539429,-99.1427002,Seasonal OR temporary,Yes,4,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3NIAyszgr58df3X,Farm 6,19.43539429,-99.1427002,Permanent,Yes,216,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Somewhat agree,1
R_88q43AktDZKxtmN,Farm 6,20.63459778,-87.06950378,Permanent,Yes,96,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3JDHl3gnrKVJOTX,Farm 6,19.3782959,-99.16210175,Seasonal OR temporary,Yes,5,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2cnMyEyeKjtNiZ3,Farm 6,19.43539429,-99.1427002,Permanent,Yes,119,Very satisfied,Yes,No,Very good,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,1
R_1jBNDtZIf1O8LOF,Farm 6,19.32290649,-98.19999695,Seasonal OR temporary,Yes,2,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1pLGzUyBLWdDXHM,Farm 6,19.3782959,-99.16210175,Seasonal OR temporary,No,1,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2fHHi575C6IDzyz,Farm 6,20.63459778,-87.06950378,Seasonal OR temporary,Yes,12,Very satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_CdyAuXxjRNGy7xD,Farm 6,19.43539429,-99.1427002,Permanent,Yes,24,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_cHogGOdLeXwJ3tD,Farm 6,19.43539429,-99.1427002,Seasonal OR temporary,Don't know,1,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Refused,1
R_3PSMOKeuUgLFuSs,Farm 6,20.63459778,-87.06950378,Permanent,Yes,60,Very satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3JgEJShbEMDM616,Farm 6,19.32290649,-98.19999695,Seasonal OR temporary,No,10,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,0
R_27gviN0D3Uk7q7E,Farm 6,19.43539429,-99.1427002,Permanent,Yes,1,Very satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_25FNUau1WWGHfFT,Farm 6,20.63459778,-87.06950378,Permanent,Yes,48,Very satisfied,Yes,Yes,Neither good or bad,Strongly agree,Yes,Strongly Agree,Yes,Strongly disagree,1
R_2pRhqwmUnQeRsKz,Farm 6,19.3782959,-99.16210175,Permanent,Yes,1,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,Strongly disagree,Yes,Strongly agree,1
R_agBKsJ2WMQ7bnHj,Farm 6,20.63459778,-87.06950378,Seasonal OR temporary,Yes,120,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly agree,1
R_1mDEGuMoqQXBrps,Farm 6,19.43539429,-99.1427002,Seasonal OR temporary,Don't know,3,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_bmi2k5V2NldcMj7,Farm 6,19.32290649,-98.19999695,Seasonal OR temporary,No,3,Very satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3kn3Pp9BOW7NR9W,Farm 6,20.63459778,-87.06950378,Seasonal OR temporary,Yes,48,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_tQfDyqs3eQvRUEp,Farm 6,19.37159729,-99.15630341,Seasonal OR temporary,Yes,3,Very dissatisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1lcPq1mZLVNVwus,Farm 6,19.35490417,-98.21549988,Seasonal OR temporary,Yes,27,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2qy1WH4duT8yZUY,Farm 6,19.37159729,-99.15630341,Seasonal OR temporary,Yes,4,Very satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_ai4RrB8vjPlfjTr,Farm 6,19.37159729,-99.15630341,Seasonal OR temporary,Yes,4,Somewhat Satisfied,Yes,No,Neither good or bad,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_27rmlI5vRnWUZ3Z,Farm 6,19.35490417,-98.21549988,Permanent,Don't know,14,Very satisfied,Don't know,No,Somewhat good,Somewhat agree,No,Somewhat disagree,Yes,Somewhat disagree,0
R_1eKOoo2vwdirrnp,Farm 6,19.37159729,-99.15630341,Seasonal OR temporary,Yes,3,Somewhat Satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2ztGsWSIxjjVZMp,Farm 6,19.43539429,-99.1427002,Seasonal OR temporary,Yes,60,Neither satisfied nor dissatisfied,Yes,No,Neither good or bad,Strongly agree,Yes,Strongly Agree,Don't know,Strongly disagree,1
R_1H2bMiIBatzzl0o,Farm 6,19.43539429,-99.1427002,Permanent,Yes,168,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Somewhat agree,Yes,Strongly disagree,1
R_3fYIGpWWGNl60U6,Farm 6,20.63459778,-87.06950378,Seasonal OR temporary,Yes,60,Somewhat Satisfied,Yes,Yes,Neither good or bad,Strongly agree,No,Strongly Agree,Don't know,Strongly disagree,1
R_2WvDUnBAq1iGDNy,Farm 6,19.35490417,-98.21549988,Seasonal OR temporary,Yes,2,Somewhat Satisfied,Yes,No,Neither good or bad,Somewhat agree,Refused,Somewhat agree,Yes,Strongly agree,0
R_2Cg1erIrUs73gAg,Farm 6,19.43539429,-99.1427002,Seasonal OR temporary,Yes,3,Very satisfied,Yes,No,Somewhat good,Strongly agree,No,Somewhat disagree,No,Strongly disagree,1
R_2rwEUkrceNkdJQD,Farm 6,19.37159729,-99.15630341,Seasonal OR temporary,Yes,10,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_2f8KRFqV9tKZ93f,Farm 6,20.63459778,-87.06950378,Seasonal OR temporary,Yes,72,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly disagree,Don't know,Strongly disagree,1
R_2ON48Xe1RZZrym9,Farm 6,19.43539429,-99.1427002,Seasonal OR temporary,Yes,24,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_Y4uIMdFSXnBkUcp,Farm 6,20.63459778,-87.06950378,Seasonal OR temporary,Yes,24,Somewhat Satisfied,Don't know,No,Somewhat good,Somewhat agree,No,Strongly disagree,No,Somewhat disagree,1
R_2V8hNEt9q6QfKte,Farm 6,19.37159729,-99.15630341,Seasonal OR temporary,Yes,120,Very satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly agree,1
R_2sXzyjWiUbY7SfG,Farm 6,19.43539429,-99.1427002,Seasonal OR temporary,Yes,24,Somewhat Satisfied,Yes,Yes,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3033cS75RPTdZp7,Farm 6,19.37159729,-99.15630341,Seasonal OR temporary,Yes,3,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_3KwlIVY2GMbyRXy,Farm 6,20.63459778,-87.06950378,Seasonal OR temporary,Yes,3,Very satisfied,Yes,No,Very good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
R_1Hjh8yzTOLjlvcY,Farm 6,19.43539429,-99.1427002,Permanent,Yes,1,Very satisfied,Yes,Yes,Somewhat good,Strongly agree,No,Somewhat agree,Yes,Strongly disagree,1
R_1QmgWaCBgk9IUQr,Farm 6,19.43539429,-99.1427002,Seasonal OR temporary,Yes,60,Somewhat Satisfied,Yes,Don't know,Very good,Strongly agree,No,Strongly Agree,No,Strongly disagree,1
R_3L72K3CCwveVKys,Farm 6,19.37159729,-99.15630341,Seasonal OR temporary,Yes,0,Somewhat Satisfied,Yes,No,Somewhat good,Strongly agree,No,Strongly Agree,Yes,Strongly disagree,1
