Survey Number,Response ID,ch_account_name,gender_core,gender_core,age_core,education_level_core,education_level_core,worker_type_core,worker_type_core,understand_contract,understand_contract,entity_tenure - Years,entity_tenure - Months,total_tenure_months,workplace_satis_core,workplace_satis_core,trust_leadership_core,living_wage_tf_core,conditions_rate_core,conditions_rate_core,safety_core,safety_core,accident_last_year,injury_last_year,covid_safety_measures_core,covid_safety_measures_core,return_next_season_core,pressure_to_work_core,pressure_to_work_core,factory_recommend_tf_core
Survey 2,R_1FP8jGCbyfAwAwb,Farm 6,Woman,1,32,No school,No school,Seasonal OR temporary,1,Yes,0,5,0,60,Somewhat Satisfied,3,Yes,No,Somewhat good,3,Somewhat agree,3,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_Y5hg68WCyYE8Ne9,Farm 6,Woman,1,38,Elementary School,Elementary School,Permanent,1,Yes,0,17,0,204,Somewhat Satisfied,3,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_1DtWe1stwau3pVe,Farm 6,Man,0,21,Elementary School,Elementary School,Permanent,1,Yes,0,4,0,48,Neither satisfied nor dissatisfied,2,Don't know,No,Neither good or bad,2,Agree nor disagree,2,No,,Strongly Agree,4,Don't know,Strongly disagree,0,Demoter
Survey 2,R_2BgNQTulV5mvIL0,Farm 6,Woman,1,20,No school,No school,Permanent,1,Yes,0,3,0,36,Neither satisfied nor dissatisfied,2,Yes,Yes,Neither good or bad,2,Somewhat agree,3,No,,Somewhat agree,3,Don't know,Somewhat agree,3,Neutral
Survey 2,R_2460TwKfDko9QAi,Farm 6,Man,0,60,No school,No school,Seasonal OR temporary,1,Yes,0,15,0,180,Very satisfied,4,Yes,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_2QmNZPQ1reJq02P,Farm 6,Woman,1,27,High School,High School,Seasonal OR temporary,1,Yes,0,0,3,3,Somewhat Satisfied,3,Yes,Yes,Very bad,1,Strongly disagree,0,No,,Somewhat agree,3,No,Strongly agree,4,Demoter
Survey 2,R_qKtWxiFI2Y7HNDz,Farm 6,Woman,1,35,Elementary School,Elementary School,Permanent,1,Yes,0,3,0,36,Neither satisfied nor dissatisfied,2,Yes,Yes,Neither good or bad,2,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_WkTw0MEOOjyuIyR,Farm 6,Man,0,60,No school,No school,Seasonal OR temporary,1,Yes,0,6,5,77,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_PZMF1J3GuzvcFBD,Farm 6,Woman,1,26,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,,11,11,Neither satisfied nor dissatisfied,2,Yes,No,Neither good or bad,2,Somewhat agree,3,No,,Strongly Agree,4,Don't know,Strongly disagree,0,Neutral
Survey 2,R_eVQauxOh1PXfFxT,Farm 6,Man,0,33,Middle School,Middle School,Permanent,1,Yes,0,11,0,132,Somewhat Satisfied,3,Don't know,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_30vnXbzp2fvhmVC,Farm 6,Woman,1,35,High School,High School,Seasonal OR temporary,1,Yes,0,4,0,48,Somewhat Satisfied,3,Yes,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Don't know,Strongly disagree,0,Demoter
Survey 2,R_1Fmj1qp6sBE1GYD,Farm 6,Man,0,28,College degree or higher,College degree or higher,Seasonal OR temporary,1,Don't know,Don't know,0,8,8,Somewhat dissatisfied,1,No,Yes,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Don't know,Strongly disagree,0,Demoter
Survey 2,R_OoNU9WZZpxRYhO1,Farm 6,Man,0,22,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,0,2,2,Somewhat Satisfied,3,Yes,No,Neither good or bad,2,Somewhat agree,3,No,,Strongly Agree,4,Yes,Somewhat agree,3,Neutral
Survey 2,R_3JjYU0Abk4XtYUF,Farm 6,Man,0,45,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,0,10,10,Somewhat Satisfied,3,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Somewhat agree,3,Yes,Strongly disagree,0,Neutral
Survey 2,R_2drVO212uyDhVIV,Farm 6,Man,0,43,No school,No school,Permanent,1,Yes,0,0,4,4,Somewhat Satisfied,3,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Don't know,Strongly disagree,0,Don't know
Survey 2,R_SCZVRAxhzIiXQ2t,Farm 6,Man,0,44,No school,No school,Permanent,1,Yes,0,1,6,18,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Don't know
Survey 2,R_1qe8DvBXVhLMS6S,Farm 6,Man,0,56,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,0,3,3,Somewhat Satisfied,3,Yes,No,Neither good or bad,2,Strongly agree,4,Yes,2 occasions,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_PwerSV2TtVLJK6t,Farm 6,Man,0,32,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,0,7,7,Neither satisfied nor dissatisfied,2,Yes,No,Neither good or bad,2,Strongly agree,4,No,,Strongly disagree,0,Don't know,Strongly disagree,0,Demoter
Survey 2,R_27scdmPpFVaHY0S,Farm 6,Man,0,31,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,0,3,3,Somewhat Satisfied,3,Yes,No,Neither good or bad,2,Somewhat agree,3,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_w1MzzSAXpRxnxTz,Farm 6,Woman,1,27,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,0,3,3,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_2R2IgPB1rlyqslZ,Farm 6,Woman,1,19,Middle School,Middle School,Permanent,1,Yes,0,0,6,6,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Somewhat agree,3,Yes,Strongly disagree,0,Promoter 
Survey 2,R_2WO4QXX1z4D3pvN,Farm 6,Man,0,27,Elementary School,Elementary School,Seasonal OR temporary,1,,,0,9,9,Neither satisfied nor dissatisfied,2,Yes,No,Somewhat bad,1,Agree nor disagree,2,No,,Somewhat agree,3,No,Strongly disagree,0,Promoter
Survey 2,R_1gLtSvzw2udE6QT,Farm 6,Woman,1,46,No school,No school,Seasonal OR temporary,1,No,1,0,9,9,Somewhat dissatisfied,1,No,No,Somewhat bad,1,Somewhat agree,3,No,,Strongly Agree,4,Yes,Strongly agree,4,Demoter
Survey 2,R_3DtOiL0h50gk5vd,Farm 6,Man,0,26,No school,No school,Seasonal OR temporary,1,Yes,0,6,0,72,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_en84XXGVG2JFik9,Farm 6,Man,0,27,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,6,0,72,Somewhat Satisfied,3,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_3qkwR0u59omsayv,Farm 6,Woman,1,21,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,0,0,0,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_2y75RFcQPABsQ2P,Farm 6,Man,0,33,No school,No school,Seasonal OR temporary,1,Yes,0,0,1,1,Neither satisfied nor dissatisfied,2,Yes,Don't know,Somewhat good,3,Somewhat agree,3,No,,Agree nor disagree,2,Don't know,Strongly disagree,0,Neutral
Survey 2,R_enx7OGef8x49R9n,Farm 6,Man,0,34,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,3,0,36,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_42ZvfjEUxkjcN4B,Farm 6,Woman,1,42,No school,No school,Seasonal OR temporary,1,Yes,0,11,0,132,Somewhat Satisfied,3,Yes,No,Neither good or bad,2,Strongly agree,4,Yes,1 occasion,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_25FsS5nqVkZpsGl,Farm 6,Man,0,18,Elementary School,Elementary School,Permanent,1,Yes,0,0,1,1,Somewhat Satisfied,3,Yes,Yes,Very good,4,Strongly agree,4,No,,Somewhat agree,3,Yes,Strongly disagree,0,Promoter 
Survey 2,R_b8bbDJtQuVBft7j,Farm 6,Man,0,16,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,4,8,56,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_1esCdxvoJwQdMNm,Farm 6,Woman,1,31,No school,No school,Seasonal OR temporary,1,Don't know,Don't know,0,1,1,Very satisfied,4,Yes,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_tY6zykThOk36UFz,Farm 6,Man,0,37,No school,No school,Seasonal OR temporary,1,Yes,0,0,1,1,Somewhat Satisfied,3,Yes,Yes,Neither good or bad,2,Strongly agree,4,Yes,2 occasions,Strongly Agree,4,Yes,Agree nor disagree,2,Promoter
Survey 2,R_s5oDfJsV0iFMNm9,Farm 6,Woman,1,46,No school,No school,Seasonal OR temporary,1,Yes,0,15,0,180,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly disagree,0,Yes,Strongly disagree,0,Neutral
Survey 2,R_1gI1laKF2Pl6q9Y,Farm 6,Woman,1,28,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,0,0,0,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_STqa6yZIaLLOXiF,Farm 6,Woman,1,29,Elementary School,Elementary School,Seasonal OR temporary,1,Don't know,Don't know,0,1,1,Neither satisfied nor dissatisfied,2,No,No,Somewhat bad,1,Agree nor disagree,2,No,,Strongly Agree,4,Yes,Somewhat agree,3,Promoter 
Survey 2,R_1im7ztRLAkUe8Lp,Farm 6,Man,0,24,Middle School,Middle School,Permanent,1,Yes,0,0,1,1,Very satisfied,4,No,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly agree,4,Promoter 
Survey 2,R_2xRZ4J89HKdH6st,Farm 6,Man,0,30,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,11,,132,Somewhat Satisfied,3,Yes,No,Neither good or bad,2,Strongly agree,4,No,,Somewhat agree,3,Yes,Strongly disagree,0,Neutral
Survey 2,R_2af7CJpNoA1PKgm,Farm 6,Man,0,21,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,0,1,1,Somewhat Satisfied,3,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Somewhat agree,3,Yes,Agree nor disagree,2,Promoter 
Survey 2,R_3MoMUBgsoefRkNm,Farm 6,Woman,1,19,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,0,1,1,Very satisfied,4,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_27J6eir6UUv25og,Farm 6,Woman,1,45,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,4,,48,Somewhat Satisfied,3,Yes,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Agree nor disagree,2,Promoter 
Survey 2,R_AHix5euURyH1qql,Farm 6,Woman,1,46,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,0,2,2,Somewhat Satisfied,3,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_3kFkxHuMiNHDuJi,Farm 6,Woman,1,20,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,0,8,8,Somewhat Satisfied,3,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Strongly disagree,0,Yes,Strongly disagree,0,Promoter 
Survey 2,R_1hRy5bElKgEtskd,Farm 6,Woman,1,42,No school,No school,Seasonal OR temporary,1,Yes,0,4,0,48,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_28GrFOQ7CoDK2Ua,Farm 6,Woman,1,18,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,0,5,5,Neither satisfied nor dissatisfied,2,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_2fIMvaYDto1tWfM,Farm 6,Man,0,40,No school,No school,Seasonal OR temporary,1,Yes,0,2,3,27,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly agree,4,Demoter
Survey 2,R_UlGkI0CjNxeYjiF,Farm 6,Woman,1,38,No school,No school,Seasonal OR temporary,1,Yes,0,0,2,2,Somewhat Satisfied,3,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Demoter
Survey 2,R_3J8cmLnOrlK8bmw,Farm 6,Woman,1,20,No school,No school,Seasonal OR temporary,1,No,1,0,1,1,Somewhat Satisfied,3,No,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Don't know,Strongly agree,4,Promoter 
Survey 2,R_2fDRq4EAKNZgH0t,Farm 6,Man,0,23,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,6,,72,Somewhat Satisfied,3,Yes,No,Somewhat good,3,Somewhat agree,3,No,,Somewhat agree,3,Yes,Strongly agree,4,Neutral
Survey 2,R_ahgDELllPkMH8g9,Farm 6,Woman,1,29,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,0,1,1,Very satisfied,4,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_1CwhLgf8kgntaM0,Farm 6,Man,0,18,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,0,1,1,Somewhat Satisfied,3,Yes,Yes,Very good,4,Strongly agree,4,No,,Somewhat agree,3,Yes,Strongly disagree,0,Promoter
Survey 2,R_vYueb9F68ObRt0R,Farm 6,Man,0,32,No school,No school,Seasonal OR temporary,1,No,1,15,0,180,Very satisfied,4,No,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Demoter
Survey 2,R_3MLtJJ4vtgO8KWd,Farm 6,Man,0,18,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,0,1,1,Very satisfied,4,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_22xkMXavEWrACFz,Farm 6,Man,0,19,Elementary School,Elementary School,Permanent,1,Yes,0,1,0,12,Somewhat Satisfied,3,Yes,No,Neither good or bad,2,Strongly agree,4,No,,Strongly Agree,4,Yes,Agree nor disagree,2,Neutral
Survey 2,R_1pKyGdYkYVYDqB6,Farm 6,Man,0,38,No school,No school,Seasonal OR temporary,1,Yes,0,6,3,75,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_2tLnJXcKPPlayck,Farm 6,Woman,1,21,No school,No school,Seasonal OR temporary,1,Yes,0,5,0,60,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_3oGjA8MACL7LhnZ,Farm 6,Woman,1,29,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,2,0,24,Somewhat Satisfied,3,Yes,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_27vdp1EKx09Iax4,Farm 6,Woman,1,40,No school,No school,Seasonal OR temporary,1,Yes,0,0,8,8,Very satisfied,4,Yes,No,Neither good or bad,2,Strongly agree,4,No,,Strongly Agree,4,Yes,Somewhat agree,3,Promoter 
Survey 2,R_3IYkwTojwce07HI,Farm 6,Woman,1,30,Elementary School,Elementary School,Permanent,1,No,1,10,0,120,Very satisfied,4,Yes,Don't know,Somewhat good,3,Strongly agree,4,No,,Somewhat agree,3,Yes,Strongly disagree,0,Promoter 
Survey 2,R_2TnueltvYZHsMl4,Farm 6,Woman,1,25,Middle School,Middle School,Permanent,1,Yes,0,4,9,57,Very satisfied,4,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_2YIXDChOHuZzPk4,Farm 6,Man,0,25,No school,No school,Seasonal OR temporary,1,Yes,0,8,0,96,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Don't know,Strongly disagree,0,Promoter 
Survey 2,R_3EGduDdCIVt5Xit,Farm 6,Woman,1,25,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,8,0,96,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Somewhat disagree,1,Promoter 
Survey 2,R_33pYeqDayhGJeYF,Farm 6,Man,0,35,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,2,0,24,Very satisfied,4,Yes,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_1PShSkPzgjaSfyX,Farm 6,Woman,1,28,Elementary School,Elementary School,Permanent,1,Yes,0,2,0,24,Neither satisfied nor dissatisfied,2,Yes,No,Neither good or bad,2,Strongly agree,4,No,,Somewhat agree,3,No,Strongly agree,4,Demoter
Survey 2,R_3h5vNJJ5U0erAIc,Farm 6,Woman,1,25,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,6,0,72,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly agree,4,Promoter 
Survey 2,R_9Yu1JZLHcAg7DgJ,Farm 6,Woman,1,47,No school,No school,Seasonal OR temporary,1,Yes,0,4,2,50,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Don't know,Strongly disagree,0,Promoter 
Survey 2,R_Q61xn7nmLpkNPX3,Farm 6,Woman,1,29,No school,No school,Seasonal OR temporary,1,Yes,0,0,2,2,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Somewhat agree,3,Promoter 
Survey 2,R_1odnV8Q4Mp788fr,Farm 6,Man,0,31,Middle School,Middle School,Permanent,1,Yes,0,4,0,48,Very satisfied,4,Yes,No,Neither good or bad,2,Strongly agree,4,No,,Agree nor disagree,2,Don't know,Strongly disagree,0,Neutral
Survey 2,R_1rCGlma455CYxSI,Farm 6,Woman,1,30,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,0,1,1,Neither satisfied nor dissatisfied,2,Don't know,No,Neither good or bad,2,Strongly agree,4,No,,Somewhat agree,3,Yes,Strongly disagree,0,Neutral
Survey 2,R_27UNNu89vPeOsKw,Farm 6,Woman,1,28,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,0,6,6,Very satisfied,4,Yes,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_2sYKs38fEqiYMa7,Farm 6,Woman,1,27,Elementary School,Elementary School,Permanent,1,Yes,0,2,0,24,Very satisfied,4,Yes,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly agree,4,Promoter 
Survey 2,R_2xJ0vF61OlnxBnn,Farm 6,Woman,1,25,No school,No school,Seasonal OR temporary,1,Yes,0,8,1,97,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Don't know
Survey 2,R_23TtEKed6uLlUhJ,Farm 6,Woman,1,24,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,4,0,48,Somewhat Satisfied,3,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_245zbcWyZvk5nNh,Farm 6,Man,0,27,No school,No school,Seasonal OR temporary,1,Yes,0,3,0,36,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Somewhat agree,3,Yes,Strongly disagree,0,Promoter 
Survey 2,R_SDIK6bxnRJLivyV,Farm 6,Woman,1,20,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,0,5,5,Somewhat Satisfied,3,Yes,Yes,Neither good or bad,2,Somewhat agree,3,No,,Agree nor disagree,2,Don't know,Strongly disagree,0,Neutral
Survey 2,R_1f2eF8RYKCVQGpQ,Farm 6,Man,0,29,Middle School,Middle School,Permanent,1,Yes,0,10,0,120,Somewhat Satisfied,3,Yes,No,Somewhat good,3,Strongly agree,4,No,,Somewhat agree,3,Yes,Somewhat agree,3,Promoter 
Survey 2,R_AdpjOnyH64I0obD,Farm 6,Man,0,56,No school,No school,Seasonal OR temporary,1,Yes,0,0,1,1,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_1hF5fiGIFM7oIy0,Farm 6,Woman,1,34,Elementary School,Elementary School,Permanent,1,Yes,0,9,0,108,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_1NzApoEupI56v2J,Farm 6,Woman,1,40,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,8,0,96,Somewhat Satisfied,3,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter
Survey 2,R_xaMaVPpLCgojuFz,Farm 6,Woman,1,27,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,0,2,2,Very satisfied,4,Yes,Yes,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_1djkHrmLSX9G4Rm,Farm 6,Man,0,27,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,8,0,96,Neither satisfied nor dissatisfied,2,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Somewhat agree,3,Yes,Strongly disagree,0,Promoter 
Survey 2,R_2trLJFtrxbaczrC,Farm 6,Man,0,25,Middle School,Middle School,Seasonal OR temporary,1,Yes,0,0,0,0,Somewhat Satisfied,3,Yes,No,Neither good or bad,2,Strongly agree,4,No,,Somewhat agree,3,Yes,Strongly disagree,0,Don't know
Survey 2,R_2PtLe7PlcX4a3pC,Farm 6,Man,0,30,No school,No school,Seasonal OR temporary,1,Yes,0,6,0,72,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly agree,4,Promoter 
Survey 2,R_2YGw4sJXNw7t49k,Farm 6,Man,0,29,Elementary School,Elementary School,Seasonal OR temporary,1,Yes,0,4,0,48,Somewhat Satisfied,3,Yes,No,Neither good or bad,2,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_2asPVMECU9OFf7t,Farm 6,Woman,1,28,High School,High School,Seasonal OR temporary,1,Yes,0,0,1,1,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Somewhat agree,3,Yes,Strongly disagree,0,Promoter 
Survey 2,R_11XZlh0hniqRl0B,Farm 6,Man,0,49,No school,No school,Seasonal OR temporary,1,Yes,0,3,2,38,Very satisfied,4,Yes,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_2495hLeaM6KVt7k,Farm 6,Man,0,32,Elementary School,Elementary School,Permanent,1,Yes,0,2,0,24,Very satisfied,4,Yes,No,Very good,4,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Neutral
Survey 2,R_26kDUQNdcCix1tz,Farm 6,Man,0,34,No school,No school,Seasonal OR temporary,1,Yes,0,15,0,180,Very satisfied,4,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly agree,4,Promoter 
Survey 2,R_BsupJhxiqy3ORA5,Farm 6,Woman,1,56,No school,No school,Permanent,1,Yes,0,5,0,60,Very satisfied,4,Yes,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
Survey 2,R_Zme8mLeSHqa9q0N,Farm 7,Woman,1,23,No school,No school,Permanent,1,No,1,0,3,3,Neither satisfied nor dissatisfied,2,No,No,Somewhat good,3,Agree nor disagree,2,Yes,1 occasion,Agree nor disagree,2,Yes,Agree nor disagree,2,Neutral
Survey 2,R_1mUYjYGnsOeTrRu,Farm 7,Woman,1,50,No school,No school,Permanent,1,No,1,0,4,4,Somewhat dissatisfied,1,No,No,Somewhat bad,1,Strongly disagree,0,Yes,2 occasions,Strongly Agree,4,Yes,Strongly agree,4,Neutral
Survey 2,R_06EPBM5u6Swx1SZ,Farm 7,Woman,1,22,Elementary School,Elementary School,Permanent,1,Yes,0,2,0,24,Somewhat Satisfied,3,Yes,No,Somewhat good,3,Somewhat agree,3,No,,Somewhat agree,3,Yes,Somewhat disagree,1,Promoter 
Survey 2,R_8PT5muoQEsA0jYM,Farm 7,Woman,1,21,Middle School,Middle School,Permanent,1,Yes,0,2,0,24,Very satisfied,4,Yes,Don't know,Neither good or bad,2,Somewhat agree,3,No,,Strongly Agree,4,Yes,Somewhat disagree,1,Demoter
Survey 2,R_mub2KM05G7XNPof,Farm 7,Woman,1,20,High School,High School,Permanent,1,Yes,0,0,10,10,Very dissatisfied,0,No,No,Neither good or bad,2,Strongly agree,4,No,,Strongly disagree,0,No,Strongly agree,4,Demoter
Survey 2,R_o0QVNnFCbGYXWBk,Farm 7,Man,0,39,Middle School,Middle School,Permanent,1,Yes,0,3,0,36,Neither satisfied nor dissatisfied,2,Don't know,No,Neither good or bad,2,Somewhat agree,3,No,,Strongly disagree,0,Yes,Somewhat disagree,1,Neutral
Survey 2,R_8tpwisnZ9uDKXJm,Farm 7,Man,0,39,Middle School,Middle School,Permanent,1,Yes,0,2,8,32,Somewhat Satisfied,3,Yes,No,Somewhat good,3,Agree nor disagree,2,No,,Agree nor disagree,2,Yes,Strongly disagree,0,Demoter
Survey 2,R_ccAMxwDHHdxiFnX,Farm 7,Woman,1,37,Middle School,Middle School,Permanent,1,Don't know,Don't know,0,10,10,Somewhat Satisfied,3,Yes,No,Neither good or bad,2,Somewhat agree,3,No,,Somewhat disagree,1,Yes,Somewhat disagree,1,Neutral
Survey 2,R_gQV3id9fq18Tg5Z,Farm 7,Man,0,21,High School,High School,Permanent,1,Yes,0,0,8,8,Very satisfied,4,Yes,Yes,Somewhat good,3,Strongly agree,4,No,,Somewhat disagree,1,Yes,Somewhat agree,3,Promoter 
Survey 2,R_1yCIuFsx7UXfTaY,Farm 7,Woman,1,27,Middle School,Middle School,Permanent,1,Yes,0,0,1,1,Very satisfied,4,Yes,No,Somewhat good,3,Strongly agree,4,No,,Strongly Agree,4,Yes,Strongly disagree,0,Promoter 
